Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"32,280,600",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"30,676,100",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"28,844,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"30,266,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"32,564,800",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"33,062,400",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"34,205,200",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"34,373,300",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"33,470,200",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"34,505,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"34,414,300",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"33,848,500",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"32,539,400",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"32,880,300",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"35,647,400",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"35,887,600",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"35,529,700",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"36,416,200",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"36,319,900",
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"35,637,000",
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"36,491,900",
SURVEY,1996,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"36,760,400",
SURVEY,1995,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"35,817,300",
SURVEY,1994,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"34,376,500",
SURVEY,1993,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"33,504,400",
SURVEY,1992,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"33,068,700",
SURVEY,1991,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"32,884,800",
SURVEY,1990,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"33,439,200",
SURVEY,1989,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"34,106,200",
SURVEY,1988,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"35,323,900",
SURVEY,1987,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"35,889,900",
SURVEY,1986,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"37,568,300",
SURVEY,1985,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"36,592,700",
SURVEY,1984,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"37,891,800",
SURVEY,1983,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"36,973,900",
SURVEY,1982,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"36,158,300",
SURVEY,1981,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"35,265,400",
SURVEY,1980,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"34,115,700",
SURVEY,1979,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"34,004,600",
SURVEY,1978,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"39,970,100",
SURVEY,1977,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"42,381,400",
SURVEY,1976,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"43,196,400",
SURVEY,1975,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"41,464,200",
SURVEY,1974,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"37,326,500",
SURVEY,1973,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"34,026,800",
